Designator,Mid X,Mid Y,Rotation,Layer
C1,138.8,-91.8,0.0,bottom
C10,152.2,-119.2,270.0,bottom
C11,152.7,-124.7,0.0,bottom
C12,154.1,-120.3,270.0,bottom
C13,156.5,-120.3,270.0,bottom
C14,147.9,-105.38,270.0,bottom
C15,186.3,-98.045,90.0,bottom
C16,186.4,-103.4,270.0,bottom
C17,189.655,-86.8,0.0,bottom
C18,155.78,-86.7,0.0,bottom
C19,174.0,-104.1,270.0,bottom
C2,139.6,-94.2,270.0,bottom
C20,179.1,-104.055,270.0,bottom
C21,164.72,-104.0,0.0,bottom
C22,169.0,-97.68,270.0,bottom
C23,145.6,-88.3,0.0,bottom
C24,170.8,-86.8,180.0,bottom
C25,177.945,-86.8,180.0,bottom
C26,185.0,-86.6,180.0,bottom
C27,163.8,-86.7,180.0,bottom
C28,180.7,-125.6,0.0,bottom
C3,141.5,-119.3,180.0,bottom
C4,150.7,-124.6,90.0,bottom
C5,149.8,-118.2,180.0,bottom
C6,155.9,-124.7,0.0,bottom
C7,150.7,-119.82,270.0,bottom
C8,151.2,-121.2,180.0,bottom
C9,141.5,-120.6,0.0,bottom
D1,200.6,-104.5,90.0,bottom
D2,198.9,-104.5,90.0,bottom
D3,169.0,-115.0,180.0,bottom
D4,169.0,-112.9,180.0,bottom
D5,199.4,-95.8,180.0,bottom
D6,199.4,-97.2,180.0,bottom
D7,199.4,-90.9,180.0,bottom
D8,199.4,-92.6,180.0,bottom
D9,199.4,-89.5,180.0,bottom
FB1,159.4,-124.8,0.0,bottom
FB2,159.4,-123.1,0.0,bottom
IC1,145.1,-93.7,270.0,bottom
J1,196.586308,-91.292901,0.0,bottom
J2,145.2,-92.2,270.0,top
J3,153.6,-93.0,90.0,top
Q1,162.3,-114.8,90.0,bottom
Q2,174.5,-110.6,270.0,bottom
R1,184.8,-105.21,90.0,bottom
R10,186.59,-105.7,180.0,bottom
R11,165.4,-117.0,0.0,bottom
R12,200.6,-106.9,90.0,bottom
R13,200.2,-101.4,270.0,bottom
R14,199.2,-101.4,270.0,bottom
R15,198.9,-106.9,90.0,bottom
R2,163.21,-124.5,0.0,bottom
R3,163.21,-123.5,0.0,bottom
R4,163.21,-122.5,0.0,bottom
R5,145.6,-89.2,0.0,bottom
R6,151.2,-122.2,180.0,bottom
R7,151.2,-123.2,180.0,bottom
R8,154.0,-123.1,180.0,bottom
R9,156.69,-123.1,180.0,bottom
U1,163.55,-110.19,270.0,top
U10,188.8375,-102.75,180.0,bottom
U11,181.5,-104.7,180.0,bottom
U12,167.6,-104.9,180.0,bottom
U13,154.2,-91.0,0.0,bottom
U14,178.1,-122.2,90.0,bottom
U15,167.35,-98.75,270.0,bottom
U16,146.3,-122.2,270.0,bottom
U2,160.5,-91.0,0.0,bottom
U3,181.75,-91.0,0.0,bottom
U4,174.675,-91.0,0.0,bottom
U5,167.5,-91.0,0.0,bottom
U6,152.0,-106.6,270.0,bottom
U7,176.6,-104.7,180.0,bottom
U8,188.0,-91.0,0.0,bottom
U9,188.7,-99.35,180.0,bottom
